Date,Open,High,Low,Close,Volume,Adj Close
2016-05-02,88.239998,89.480003,88.080002,89.129997,10273700,87.639808
2016-04-29,88.68,89.779999,87.739998,88.400002,17885900,86.922017
2016-04-28,87.860001,88.779999,87.50,88.029999,11276200,86.5582
2016-04-27,87.949997,88.720001,87.330002,88.459999,10463500,86.981011
2016-04-26,87.75,87.940002,87.059998,87.629997,9425900,86.164887
2016-04-25,87.089996,87.400002,86.349998,87.330002,8076400,85.869907
2016-04-22,87.239998,87.639999,86.82,87.529999,9150800,86.06656
2016-04-21,86.589996,87.839996,86.57,86.790001,12075300,85.338934
2016-04-20,86.230003,87.440002,85.970001,86.800003,15247100,85.348769
2016-04-19,85.849998,86.309998,85.220001,86.209999,10354500,84.76863
2016-04-18,84.970001,85.860001,83.860001,85.779999,9097000,84.345819
2016-04-15,85.300003,85.660004,84.779999,84.970001,11280200,83.549364
2016-04-14,85.00,85.900002,84.760002,85.43,10625800,84.001672
2016-04-13,84.50,84.910004,84.040001,84.830002,9235700,83.411705
2016-04-12,83.690002,84.629997,83.370003,84.349998,9986100,82.939727
2016-04-11,83.330002,84.239998,83.279999,83.32,9925000,81.926949
2016-04-08,83.300003,83.449997,82.849998,83.209999,9376200,81.818788
2016-04-07,82.760002,83.169998,82.050003,82.370003,8267100,80.992835
2016-04-06,82.690002,83.459999,82.300003,83.309998,9320200,81.917114
2016-04-05,82.610001,83.129997,81.989998,82.209999,10446800,80.835507
2016-04-04,83.059998,83.900002,82.779999,83.160004,8050200,81.769628
2016-04-01,82.400002,83.389999,82.389999,82.959999,12235300,81.572967
2016-03-31,84.07,85.099998,83.589996,83.589996,13896900,82.192432
2016-03-30,85.029999,85.050003,84.00,84.519997,10807000,83.106883
2016-03-29,83.669998,84.610001,83.160004,84.529999,9977900,83.116718
2016-03-28,84.029999,84.360001,83.699997,84.220001,7490400,82.811903
2016-03-24,82.940002,84.029999,82.93,83.980003,9368300,82.575918
2016-03-23,83.860001,84.300003,83.519997,83.75,12748900,82.34976
2016-03-22,83.080002,84.860001,83.010002,84.120003,13005100,82.713577
2016-03-21,83.839996,84.139999,83.50,83.620003,8385400,82.221936
2016-03-18,84.589996,84.599998,83.25,84.199997,19637000,82.792233
2016-03-17,83.68,84.68,82.720001,84.099998,13673900,82.693907
2016-03-16,83.019997,83.160004,81.940002,82.870003,11492100,81.484476
2016-03-15,81.599998,82.849998,81.519997,82.82,9213000,81.435309
2016-03-14,81.480003,82.639999,81.019997,82.410004,13344600,81.032168
2016-03-11,83.220001,83.529999,82.010002,82.190002,15370200,80.815845
2016-03-10,82.419998,82.660004,80.93,82.18,15898300,80.80601
2016-03-09,83.220001,83.849998,82.239998,82.400002,14139300,81.022333
2016-03-08,84.00,84.209999,82.480003,82.629997,14003900,81.248483
2016-03-07,82.309998,84.459999,82.209999,84.459999,18945600,83.047889
2016-03-04,82.660004,82.970001,81.760002,82.290001,18402700,80.914171
2016-03-03,82.660004,82.720001,81.540001,82.400002,13216200,81.022333
2016-03-02,80.949997,82.720001,80.309998,82.699997,14094400,81.317312
2016-03-01,80.559998,81.769997,80.32,81.279999,15730600,79.921056
2016-02-29,81.879997,82.400002,80.050003,80.150002,18903600,78.809951
2016-02-26,82.889999,83.080002,81.690002,81.75,14343300,80.383199
2016-02-25,81.559998,82.07,80.019997,82.010002,13706400,80.638854
2016-02-24,79.910004,81.769997,79.669998,81.519997,13777500,80.157041
2016-02-23,81.989998,82.370003,80.879997,81.230003,11041600,79.871896
2016-02-22,82.50,83.440002,82.199997,82.389999,14595200,81.012498
2016-02-19,82.190002,82.550003,80.910004,82.50,13615900,81.120659
2016-02-18,82.900002,83.059998,81.860001,82.449997,14873700,81.071492
2016-02-17,81.650002,82.779999,81.160004,82.00,17006700,80.629019
2016-02-16,81.699997,81.849998,80.279999,81.220001,15912200,79.862061
2016-02-12,80.080002,81.07,79.809998,81.029999,16767200,79.675235
2016-02-11,78.339996,80.150002,77.580002,79.599998,19331600,78.269144
2016-02-10,79.769997,81.449997,79.279999,79.349998,16610900,78.023323
2016-02-09,79.980003,80.669998,78.690002,80.080002,18418100,78.741122
2016-02-08,79.300003,81.779999,78.910004,81.160004,26601200,79.085272
2016-02-05,79.400002,80.099998,78.57,80.080002,26719900,78.032878
2016-02-04,78.580002,80.00,77.559998,79.830002,23658700,77.789269
2016-02-03,75.529999,78.529999,74.260002,78.480003,25873700,76.473781
2016-02-02,74.190002,75.620003,73.550003,74.589996,21404200,72.683217
2016-02-01,76.660004,76.790001,75.440002,76.290001,16754200,74.339763
2016-01-29,76.730003,77.849998,76.25,77.849998,25161900,75.859882
2016-01-28,77.349998,77.660004,75.620003,76.989998,16157700,75.021866
2016-01-27,76.00,77.470001,74.720001,75.290001,18106100,73.365327
2016-01-26,74.769997,76.769997,74.25,76.699997,18724700,74.739278
2016-01-25,75.75,76.339996,73.900002,73.980003,17086600,72.088817
2016-01-22,76.419998,76.769997,74.720001,76.57,22530300,74.612604
2016-01-21,73.160004,74.989998,72.610001,74.099998,22265600,72.205745
2016-01-20,75.07,75.720001,71.550003,73.18,33300800,71.309265
2016-01-19,77.93,78.239998,75.190002,76.400002,22684500,74.446952
2016-01-15,76.330002,78.169998,76.300003,77.580002,28342100,75.596787
2016-01-14,76.209999,79.919998,75.800003,79.120003,33806700,77.09742
2016-01-13,75.849998,77.059998,74.940002,75.650002,26052700,73.716124
2016-01-12,74.120003,75.419998,73.150002,75.199997,21864100,73.277623
2016-01-11,75.010002,75.120003,72.559998,73.690002,21353000,71.80623
2016-01-08,76.349998,76.650002,74.50,74.690002,19033600,72.780666
2016-01-07,76.059998,77.989998,75.900002,76.230003,21263800,74.281299
2016-01-06,76.639999,77.639999,76.589996,77.470001,18826900,75.489599
2016-01-05,77.190002,78.139999,76.919998,78.120003,11993500,76.122984
2016-01-04,77.50,77.940002,76.459999,77.459999,20400100,75.479852
2015-12-31,77.510002,78.440002,77.43,77.949997,10285500,75.957324
2015-12-30,78.32,78.989998,77.970001,78.110001,9314600,76.113237
2015-12-29,79.989998,80.080002,78.839996,79.160004,8839000,77.136399
2015-12-28,78.120003,78.860001,77.910004,78.739998,9715800,76.72713
